&coords&norm&lambda&iter_time
0&(5823.424, 5798.436)&13673962.399&0.0&0.9192
1&(3401.551, 3385.834)&6836981.2096&0.00025&0.12553
2&(2190.617, 2179.535)&3418490.6048&0.00025&0.12747
3&(1585.15, 1576.386)&1709245.3024&0.00025&0.1319
4&(1282.416, 1274.811)&854622.6512&0.00025&0.12002
5&(1131.049, 1124.024)&427311.3256&0.00025&0.13536
6&(1055.366, 1048.63)&213655.6628&0.00025&0.13199
7&(1017.524, 1010.933)&106827.8314&0.00025&0.11454
8&(998.603, 992.085)&53413.9157&0.00025&0.1364
9&(989.143, 982.661)&26706.9579&0.00025&0.11853
10&(984.413, 977.949)&13353.4789&0.00025&0.14188
11&(982.047, 975.592)&6676.7395&0.00025&0.13541
12&(980.865, 974.414)&3338.3697&0.00025&0.12644
13&(980.274, 973.825)&1669.1849&0.00025&0.12055
14&(979.978, 973.531)&834.5924&0.00025&0.1275
15&(979.83, 973.384)&417.2962&0.00025&0.129
16&(979.756, 973.31)&208.6481&0.00025&0.13686
17&(979.719, 973.273)&104.3241&0.00025&0.13938
18&(979.701, 973.255)&52.162&0.00025&0.13739
19&(979.692, 973.246)&26.081&0.00025&0.11711
20&(979.687, 973.241)&13.0405&0.00025&0.1409
21&(979.685, 973.239)&6.5203&0.00025&0.13888
22&(979.683, 973.238)&3.2601&0.00025&0.12648
23&(979.683, 973.237)&1.6301&0.00025&0.12106
24&(979.683, 973.237)&0.815&0.00025&0.12348
25&(979.682, 973.237)&0.4075&0.00025&0.12648
26&(979.682, 973.236)&0.2038&0.00025&0.12843
27&(979.682, 973.236)&0.1019&0.00025&0.11953
28&(979.682, 973.236)&0.0509&0.00025&0.12946
29&(979.682, 973.236)&0.0255&0.00025&0.12351
30&(979.682, 973.236)&0.0127&0.00025&0.12199
31&(979.682, 973.236)&0.0064&0.00025&0.1324
32&(979.682, 973.236)&0.0032&0.00025&0.11454
33&(979.682, 973.236)&0.0016&0.00025&0.1334
34&(979.682, 973.236)&0.0008&0.00025&0.12942
35&(979.682, 973.236)&0.0004&0.00025&0.12895
36&(979.682, 973.236)&0.0002&0.00025&0.12202
37&(979.682, 973.236)&0.0001&0.00025&0.12947
38&(979.682, 973.236)&0.0&0.00025&0.13243
39&(979.682, 973.236)&0.0&0.00025&0.12097
40&(979.682, 973.236)&0.0&0.00025&0.11952
41&(979.682, 973.236)&0.0&0.00025&0.1225
42&(979.682, 973.236)&0.0&0.00025&0.12202
43&(979.682, 973.236)&0.0&0.00025&0.12002
44&(979.682, 973.236)&0.0&0.00025&0.12697
