&coords&norm&lambda&iter_time
0&(92.201, 36.312)&9561.79&0.0&0.02251
1&(68.472, 39.363)&4780.8952&0.0025&0.02601
2&(56.617, 40.887)&2390.4476&0.0025&0.02401
3&(50.69, 41.649)&1195.2238&0.0025&0.02301
4&(47.726, 42.03)&597.6119&0.0025&0.02301
5&(46.244, 42.221)&298.8059&0.0025&0.02301
6&(45.504, 42.316)&149.403&0.0025&0.023
7&(45.133, 42.364)&74.7015&0.0025&0.01801
8&(44.948, 42.388)&37.3507&0.0025&0.017
9&(44.855, 42.4)&18.6754&0.0025&0.017
10&(44.809, 42.406)&9.3377&0.0025&0.017
11&(44.786, 42.409)&4.6688&0.0025&0.018
12&(44.774, 42.41)&2.3344&0.0025&0.017
13&(44.768, 42.411)&1.1672&0.0025&0.019
14&(44.765, 42.411)&0.5836&0.0025&0.019
15&(44.764, 42.411)&0.2918&0.0025&0.018
16&(44.763, 42.411)&0.1459&0.0025&0.019
17&(44.763, 42.411)&0.073&0.0025&0.018
18&(44.763, 42.412)&0.0365&0.0025&0.017
19&(44.763, 42.412)&0.0182&0.0025&0.017
20&(44.763, 42.412)&0.0091&0.0025&0.018
21&(44.763, 42.412)&0.0046&0.0025&0.017
22&(44.763, 42.412)&0.0023&0.0025&0.017
23&(44.763, 42.412)&0.0011&0.0025&0.017
24&(44.763, 42.412)&0.0006&0.0025&0.017
25&(44.763, 42.412)&0.0003&0.0025&0.019
26&(44.763, 42.412)&0.0001&0.0025&0.019
27&(44.763, 42.412)&0.0001&0.0025&0.017
28&(44.763, 42.412)&0.0&0.0025&0.017
29&(44.763, 42.412)&0.0&0.0025&0.019
30&(44.763, 42.412)&0.0&0.0025&0.02
31&(44.763, 42.412)&0.0&0.0025&0.02
32&(44.763, 42.412)&0.0&0.0025&0.01801
33&(44.763, 42.412)&0.0&0.0025&0.018
34&(44.763, 42.412)&0.0&0.0025&0.018
