&coords&norm&lambda&iter_time
0&(47.808, 99.018)&9775.823&0.0&0.015
1&(48.81, 74.579)&4887.9116&0.0025&0.02601
2&(49.31, 62.37)&2443.9558&0.0025&0.025
3&(49.56, 56.265)&1221.9779&0.0025&0.02501
4&(49.685, 53.212)&610.989&0.0025&0.02201
5&(49.747, 51.686)&305.4945&0.0025&0.023
6&(49.779, 50.923)&152.7472&0.0025&0.024
7&(49.794, 50.542)&76.3736&0.0025&0.01901
8&(49.802, 50.351)&38.1868&0.0025&0.019
9&(49.806, 50.255)&19.0934&0.0025&0.019
10&(49.808, 50.208)&9.5467&0.0025&0.019
11&(49.809, 50.184)&4.7734&0.0025&0.01901
12&(49.81, 50.172)&2.3867&0.0025&0.019
13&(49.81, 50.166)&1.1933&0.0025&0.021
14&(49.81, 50.163)&0.5967&0.0025&0.022
15&(49.81, 50.161)&0.2983&0.0025&0.022
16&(49.81, 50.161)&0.1492&0.0025&0.019
17&(49.81, 50.16)&0.0746&0.0025&0.02101
18&(49.81, 50.16)&0.0373&0.0025&0.019
19&(49.81, 50.16)&0.0186&0.0025&0.02601
20&(49.81, 50.16)&0.0093&0.0025&0.02601
21&(49.81, 50.16)&0.0047&0.0025&0.02601
22&(49.81, 50.16)&0.0023&0.0025&0.024
23&(49.81, 50.16)&0.0012&0.0025&0.02901
24&(49.81, 50.16)&0.0006&0.0025&0.03101
25&(49.81, 50.16)&0.0003&0.0025&0.024
26&(49.81, 50.16)&0.0001&0.0025&0.021
27&(49.81, 50.16)&0.0001&0.0025&0.02
28&(49.81, 50.16)&0.0&0.0025&0.019
29&(49.81, 50.16)&0.0&0.0025&0.019
30&(49.81, 50.16)&0.0&0.0025&0.019
31&(49.81, 50.16)&0.0&0.0025&0.02
32&(49.81, 50.16)&0.0&0.0025&0.019
33&(49.81, 50.16)&0.0&0.0025&0.019
34&(49.81, 50.16)&0.0&0.0025&0.018
