&coords&norm&lambda&iter_time
0&(33.095, 87.448)&8777.296&0.0&0.05252
1&(39.803, 66.537)&4388.6478&0.0025&0.03101
2&(43.155, 56.089)&2194.3239&0.0025&0.02501
3&(44.83, 50.866)&1097.162&0.0025&0.02501
4&(45.668, 48.254)&548.581&0.0025&0.02201
5&(46.087, 46.948)&274.2905&0.0025&0.02401
6&(46.297, 46.295)&137.1452&0.0025&0.02
7&(46.401, 45.969)&68.5726&0.0025&0.018
8&(46.454, 45.805)&34.2863&0.0025&0.017
9&(46.48, 45.724)&17.1432&0.0025&0.018
10&(46.493, 45.683)&8.5716&0.0025&0.018
11&(46.5, 45.662)&4.2858&0.0025&0.01801
12&(46.503, 45.652)&2.1429&0.0025&0.01801
13&(46.504, 45.647)&1.0714&0.0025&0.018
14&(46.505, 45.645)&0.5357&0.0025&0.018
15&(46.506, 45.643)&0.2679&0.0025&0.017
16&(46.506, 45.643)&0.1339&0.0025&0.017
17&(46.506, 45.642)&0.067&0.0025&0.017
18&(46.506, 45.642)&0.0335&0.0025&0.017
19&(46.506, 45.642)&0.0167&0.0025&0.017
20&(46.506, 45.642)&0.0084&0.0025&0.018
21&(46.506, 45.642)&0.0042&0.0025&0.018
22&(46.506, 45.642)&0.0021&0.0025&0.018
23&(46.506, 45.642)&0.001&0.0025&0.018
24&(46.506, 45.642)&0.0005&0.0025&0.01801
25&(46.506, 45.642)&0.0003&0.0025&0.018
26&(46.506, 45.642)&0.0001&0.0025&0.018
27&(46.506, 45.642)&0.0001&0.0025&0.018
28&(46.506, 45.642)&0.0&0.0025&0.01901
29&(46.506, 45.642)&0.0&0.0025&0.018
30&(46.506, 45.642)&0.0&0.0025&0.01901
31&(46.506, 45.642)&0.0&0.0025&0.018
32&(46.506, 45.642)&0.0&0.0025&0.018
33&(46.506, 45.642)&0.0&0.0025&0.01901
34&(46.506, 45.642)&0.0&0.0025&0.02451
